subj,session,run,run_trial,context,cue_idx,cue,context_switch,cue_switch,hue_switch,ori_switch,hue,ori,congruent,hue_diff,ori_diff,hue_prop,ori_prop,hue_strength,ori_strength,context_prop,context_strength,iti_trs,iti,break,trial_time_tr,cue_time,stim_time,target_response,context_diff,distract_diff,distract_strength,distract_prop,cue_onset,stim_onset,correct,rt,response,key,stim_frames,dropped_frames,answered,log_switch_lag,log_switch_surprise
ti01,a,2,12,ori,1,5,True,True,ori,ori,red,right,False,hard,easy,0.46,0.75,0.04,0.25,0.75,0.25,0,0.0,False,89.0,64.1,64.8,True,easy,hard,0.04,0.46,64.1027429104,64.8030209541,True,1.00098896027,1.0,9.0,60,0,True,0.0,0.0
ti01,a,2,13,ori,1,5,False,False,ori,ori,red,left,True,easy,hard,0.36,0.47,0.14,0.03,0.47,0.03,1,0.72,False,95.0,68.42,69.12,False,hard,easy,0.14,0.36,68.4041349888,69.120775938,True,1.88462400436,0.0,4.0,113,0,True,0.69314718056,0.0
ti01,a,2,14,hue,1,3,True,True,hue,hue,green,right,True,hard,easy,0.54,0.75,0.04,0.25,0.54,0.04,1,0.72,False,102.0,73.46,74.16,True,hard,easy,0.25,0.75,73.4389748573,74.172344923,True,0.767364025116,1.0,9.0,46,0,True,0.0,0.0
ti01,a,2,15,hue,1,3,False,False,hue,hue,green,right,True,easy,easy,0.64,0.75,0.14,0.25,0.64,0.14,0,0.0,False,109.0,78.5,79.2,True,easy,easy,0.25,0.75,78.4739069939,79.2072708607,True,0.767683029175,1.0,9.0,46,0,True,0.69314718056,0.0
ti01,a,2,16,hue,0,6,False,True,hue,hue,red,right,False,easy,hard,0.36,0.53,0.14,0.03,0.36,0.14,1,0.72,True,115.0,82.82,83.52,False,easy,hard,0.03,0.53,82.8085119724,83.5253248215,True,1.56801509857,0.0,4.0,94,0,True,1.09861228867,0.0
ti01,a,2,17,hue,0,6,False,False,hue,hue,red,left,True,easy,easy,0.36,0.25,0.14,0.25,0.36,0.14,2,1.44,False,122.0,87.86,88.56,False,easy,easy,0.25,0.25,87.8431110382,88.5601978302,True,1.36763906479,0.0,4.0,82,0,True,1.38629436112,0.69314718056
ti01,a,2,18,ori,0,4,True,True,ori,ori,red,right,False,hard,hard,0.46,0.53,0.04,0.03,0.53,0.03,2,1.44,False,130.0,93.62,94.32,True,hard,hard,0.04,0.46,93.5948889256,94.3285009861,True,1.88467288017,1.0,9.0,113,0,True,0.0,1.09861228867
ti01,a,2,19,hue,1,3,True,True,hue,hue,red,right,False,easy,easy,0.36,0.75,0.14,0.25,0.36,0.14,2,1.44,False,138.0,99.38,100.08,False,easy,easy,0.25,0.75,99.3635158539,100.080129862,True,0.784533023834,0.0,4.0,47,0,True,0.0,0.0
ti01,a,2,20,hue,1,3,False,False,hue,hue,red,left,True,hard,hard,0.46,0.47,0.04,0.03,0.46,0.04,0,0.0,False,146.0,105.14,105.84,False,hard,hard,0.03,0.47,105.131669044,105.848793983,True,1.45156788826,0.0,4.0,87,0,True,0.69314718056,0.0
ti01,a,2,21,ori,1,5,True,True,ori,ori,green,right,True,easy,hard,0.64,0.53,0.14,0.03,0.53,0.03,0,0.0,False,152.0,109.46,110.16,True,hard,easy,0.14,0.64,109.433200836,110.166545868,False,1.25153684616,0.0,4.0,75,0,True,0.0,0.0
